MoleculeGroup	PrecursorName	PrecursorFormula	PrecursorAdduct	PrecursorMz	PrecursorCharge	ProductName	ProductFormula	ProductAdduct	ProductMz	ProductCharge	Note
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	127.0766		[M-H]1-	127.0766	-1	
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	123.0817		[M-H]1-	123.0817	-1	
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	111.0817		[M-H]1-	111.0817	-1	
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	73.0294		[M-H]1-	73.0294	-1	
8,9-DHET	8,9-DHET{d11}	C20H23H'11O4	[M-H]1-	348.307477438909	-1	precursor	C20H23H'11O4	[M-H]1-	348.307477438909	-1	replicate of 11,12-DHET{d11} [M-H]1- precursor
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	299.2378		[M-H]1-	299.2378	-1	replicate of 10-HDoHE [M-H]1- 299,238
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	281.2272		[M-H]1-	281.2272	-1	replicate of 10-HDoHE [M-H]1- 281,227
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	243.1753		[M-H]1-	243.1753	-1	
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	189.1648		[M-H]1-	189.1648	-1	replicate of 16-HDoHE [M-H]1- 189,165
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	135.1178		[M-H]1-	135.1178	-1	replicate of 16-HDoHE [M-H]1- 135,118
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	121.1022		[M-H]1-	121.1022	-1	replicate of 11-HDoHE [M-H]1- 121,102
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	109.0658		[M-H]1-	109.0658	-1	
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	107.0866		[M-H]1-	107.0866	-1	
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	69.0342		[M-H]1-	69.0342	-1	
8-HDoHE	8-HDoHE	C22H32O3	[M-H]1-	343.227868554909	-1	precursor	C22H32O3	[M-H]1-	343.227868554909	-1	replicate of 10-HDoHE [M-H]1- precursor
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	301.2172		[M-H]1-	301.2172	-1	replicate of 11(12)-EET [M-H]1- 301,217
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	275.2377		[M-H]1-	275.2377	-1	replicate of 11-HETE [M-H]1- 275,238
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	257.2273		[M-H]1-	257.2273	-1	replicate of 11(12)-EET [M-H]1- 257,227
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	203.1802		[M-H]1-	203.1802	-1	replicate of 11(12)-EET [M-H]1- 203,180
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	163.1492		[M-H]1-	163.1492	-1	replicate of 5(6)-EET [M-H]1- 163,149
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	155.0712		[M-H]1-	155.0712	-1	replicate of 8(9)-EET [M-H]1- 155,071
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	127.0764		[M-H]1-	127.0764	-1	replicate of 8(9)-EET [M-H]1- 127,076
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	111.0815		[M-H]1-	111.0815	-1	
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	59.0133		[M-H]1-	59.0133	-1	replicate of 11(12)-EET [M-H]1- 59,013
8-HETE	8-HETE	C20H32O3	[M-H]1-	319.227868554909	-1	precursor	C20H32O3	[M-H]1-	319.227868554909	-1	replicate of 11(12)-EET [M-H]1- precursor
